"","fold","cvsplit","dimred","learner_id","auc","cell_selection","Model_training_phase","learner"
"209","fold1","CVsplit5","corrgpca","learner09",0.666666666666667,"all_cells","validation",NA
"210","fold1","CVsplit5","corrgpca","learner10",0.333333333333333,"all_cells","validation",NA
"211","fold1","CVsplit5","corrgpca","learner11",0.666666666666667,"all_cells","validation",NA
"212","fold1","CVsplit5","corrgpca","learner12",0.555555555555556,"all_cells","validation",NA
"213","fold1","CVsplit5","corrgpca","learner13",0.333333333333333,"all_cells","validation",NA
"214","fold1","CVsplit5","corrgpca","learner14",0.555555555555556,"all_cells","validation",NA
"215","fold1","CVsplit5","corrgpca","learner15",0.666666666666667,"all_cells","validation",NA
"216","fold1","CVsplit5","corrgpca","learner16",0.666666666666667,"all_cells","validation",NA
"217","fold1","CVsplit5","corrgpca","learner17",0.666666666666667,"all_cells","validation",NA
"218","fold1","CVsplit5","corrgpca","learner18",0.666666666666667,"all_cells","validation",NA
"219","fold1","CVsplit5","corrgpca","learner19",0.666666666666667,"all_cells","validation",NA
"220","fold1","CVsplit5","corrgpca","learner20",0.777777777777778,"all_cells","validation",NA
"221","fold1","CVsplit5","corrgpca","learner21",0.444444444444444,"all_cells","validation",NA
"222","fold1","CVsplit5","corrgpca","learner22",0.666666666666667,"all_cells","validation",NA
"223","fold1","CVsplit5","corrgpca","learner23",0.666666666666667,"all_cells","validation",NA
"224","fold1","CVsplit5","corrgpca","learner24",0.666666666666667,"all_cells","validation",NA
"225","fold1","CVsplit5","corrgpca","learner25",0.777777777777778,"all_cells","validation",NA
"226","fold1","CVsplit5","corrgpca","learner26",0.555555555555556,"all_cells","validation",NA
"227","fold1","CVsplit5","corrgpca","learner27",0.666666666666667,"all_cells","validation",NA
"228","fold1","CVsplit5","corrgpca","learner28",0.666666666666667,"all_cells","validation",NA
"229","fold1","CVsplit5","corrgpca","learner29",0.666666666666667,"all_cells","validation",NA
"230","fold1","CVsplit5","corrgpca","learner30",0.666666666666667,"all_cells","validation",NA
"231","fold1","CVsplit5","corrgpca","learner31",0.555555555555556,"all_cells","validation",NA
"232","fold1","CVsplit5","corrgpca","learner32",0.555555555555556,"all_cells","validation",NA
"233","fold1","CVsplit5","corrgpca","learner33",0.777777777777778,"all_cells","validation",NA
"234","fold1","CVsplit5","corrgpca","learner34",0.666666666666667,"all_cells","validation",NA
"235","fold1","CVsplit5","corrgpca","learner35",0.666666666666667,"all_cells","validation",NA
"236","fold1","CVsplit5","corrgpca","learner36",0.666666666666667,"all_cells","validation",NA
"237","fold1","CVsplit5","corrgpca","learner37",0.555555555555556,"all_cells","validation",NA
"238","fold1","CVsplit5","corrgpca","learner38",0.777777777777778,"all_cells","validation",NA
"239","fold1","CVsplit5","corrgpca","learner39",0.666666666666667,"all_cells","validation",NA
"240","fold1","CVsplit5","corrgpca","learner40",0.666666666666667,"all_cells","validation",NA
"241","fold1","CVsplit5","corrgpca","learner41",0.333333333333333,"all_cells","validation",NA
"242","fold1","CVsplit5","corrgpca","learner42",0.333333333333333,"all_cells","validation",NA
"243","fold1","CVsplit5","corrgpca","learner43",0.666666666666667,"all_cells","validation",NA
"244","fold1","CVsplit5","corrgpca","learner44",0.666666666666667,"all_cells","validation",NA
"245","fold1","CVsplit5","corrgpca","learner45",0.666666666666667,"all_cells","validation",NA
"246","fold1","CVsplit5","corrgpca","learner46",0.666666666666667,"all_cells","validation",NA
"247","fold1","CVsplit5","corrgpca","learner47",0.555555555555556,"all_cells","validation",NA
"248","fold1","CVsplit5","corrgpca","learner48",0.666666666666667,"all_cells","validation",NA
"249","fold1","CVsplit5","corrgpca","learner49",0.666666666666667,"all_cells","validation",NA
"250","fold1","CVsplit5","corrgpca","learner50",0.666666666666667,"all_cells","validation",NA
"251","fold2","CVsplit1","corrgpca","learner01",0.777777777777778,"all_cells","validation",NA
"252","fold2","CVsplit1","corrgpca","learner02",0.777777777777778,"all_cells","validation",NA
"253","fold2","CVsplit1","corrgpca","learner03",0.777777777777778,"all_cells","validation",NA
"254","fold2","CVsplit1","corrgpca","learner04",0.777777777777778,"all_cells","validation",NA
"255","fold2","CVsplit1","corrgpca","learner05",0.777777777777778,"all_cells","validation",NA
"256","fold2","CVsplit1","corrgpca","learner06",0.777777777777778,"all_cells","validation",NA
"257","fold2","CVsplit1","corrgpca","learner07",0.777777777777778,"all_cells","validation",NA
"258","fold2","CVsplit1","corrgpca","learner08",0.777777777777778,"all_cells","validation",NA
"259","fold2","CVsplit1","corrgpca","learner09",0.777777777777778,"all_cells","validation",NA
"260","fold2","CVsplit1","corrgpca","learner10",0.777777777777778,"all_cells","validation",NA
"261","fold2","CVsplit1","corrgpca","learner11",0.777777777777778,"all_cells","validation",NA
"262","fold2","CVsplit1","corrgpca","learner12",0.666666666666667,"all_cells","validation",NA
"263","fold2","CVsplit1","corrgpca","learner13",0.777777777777778,"all_cells","validation",NA
"264","fold2","CVsplit1","corrgpca","learner14",0.777777777777778,"all_cells","validation",NA
"265","fold2","CVsplit1","corrgpca","learner15",0.777777777777778,"all_cells","validation",NA
"266","fold2","CVsplit1","corrgpca","learner16",0.777777777777778,"all_cells","validation",NA
"267","fold2","CVsplit1","corrgpca","learner17",0.777777777777778,"all_cells","validation",NA
"268","fold2","CVsplit1","corrgpca","learner18",0.777777777777778,"all_cells","validation",NA
"269","fold2","CVsplit1","corrgpca","learner19",0.777777777777778,"all_cells","validation",NA
"270","fold2","CVsplit1","corrgpca","learner20",0.777777777777778,"all_cells","validation",NA
"271","fold2","CVsplit1","corrgpca","learner21",0.777777777777778,"all_cells","validation",NA
"272","fold2","CVsplit1","corrgpca","learner22",0.777777777777778,"all_cells","validation",NA
"273","fold2","CVsplit1","corrgpca","learner23",0.777777777777778,"all_cells","validation",NA
"274","fold2","CVsplit1","corrgpca","learner24",0.777777777777778,"all_cells","validation",NA
"275","fold2","CVsplit1","corrgpca","learner25",0.777777777777778,"all_cells","validation",NA
"276","fold2","CVsplit1","corrgpca","learner26",0.666666666666667,"all_cells","validation",NA
"277","fold2","CVsplit1","corrgpca","learner27",0.777777777777778,"all_cells","validation",NA
"278","fold2","CVsplit1","corrgpca","learner28",0.777777777777778,"all_cells","validation",NA
"279","fold2","CVsplit1","corrgpca","learner29",0.777777777777778,"all_cells","validation",NA
"280","fold2","CVsplit1","corrgpca","learner30",0.777777777777778,"all_cells","validation",NA
"281","fold2","CVsplit1","corrgpca","learner31",0.777777777777778,"all_cells","validation",NA
"282","fold2","CVsplit1","corrgpca","learner32",0.777777777777778,"all_cells","validation",NA
"283","fold2","CVsplit1","corrgpca","learner33",0.777777777777778,"all_cells","validation",NA
"284","fold2","CVsplit1","corrgpca","learner34",0.777777777777778,"all_cells","validation",NA
"285","fold2","CVsplit1","corrgpca","learner35",0.777777777777778,"all_cells","validation",NA
"286","fold2","CVsplit1","corrgpca","learner36",0.777777777777778,"all_cells","validation",NA
"287","fold2","CVsplit1","corrgpca","learner37",0.777777777777778,"all_cells","validation",NA
"288","fold2","CVsplit1","corrgpca","learner38",0.777777777777778,"all_cells","validation",NA
"289","fold2","CVsplit1","corrgpca","learner39",0.666666666666667,"all_cells","validation",NA
"290","fold2","CVsplit1","corrgpca","learner40",0.666666666666667,"all_cells","validation",NA
"291","fold2","CVsplit1","corrgpca","learner41",0.777777777777778,"all_cells","validation",NA
"292","fold2","CVsplit1","corrgpca","learner42",0.666666666666667,"all_cells","validation",NA
"293","fold2","CVsplit1","corrgpca","learner43",0.666666666666667,"all_cells","validation",NA
"294","fold2","CVsplit1","corrgpca","learner44",0.777777777777778,"all_cells","validation",NA
"295","fold2","CVsplit1","corrgpca","learner45",0.777777777777778,"all_cells","validation",NA
"296","fold2","CVsplit1","corrgpca","learner46",0.666666666666667,"all_cells","validation",NA
"297","fold2","CVsplit1","corrgpca","learner47",0.777777777777778,"all_cells","validation",NA
"298","fold2","CVsplit1","corrgpca","learner48",0.777777777777778,"all_cells","validation",NA
"299","fold2","CVsplit1","corrgpca","learner49",0.777777777777778,"all_cells","validation",NA
"300","fold2","CVsplit1","corrgpca","learner50",0.777777777777778,"all_cells","validation",NA
"301","fold2","CVsplit2","corrgpca","learner01",0.777777777777778,"all_cells","validation",NA
"302","fold2","CVsplit2","corrgpca","learner02",0.666666666666667,"all_cells","validation",NA
"303","fold2","CVsplit2","corrgpca","learner03",0.555555555555556,"all_cells","validation",NA
"304","fold2","CVsplit2","corrgpca","learner04",0.555555555555556,"all_cells","validation",NA
"305","fold2","CVsplit2","corrgpca","learner05",0.555555555555556,"all_cells","validation",NA
"306","fold2","CVsplit2","corrgpca","learner06",0.444444444444444,"all_cells","validation",NA
"307","fold2","CVsplit2","corrgpca","learner07",0.666666666666667,"all_cells","validation",NA
"308","fold2","CVsplit2","corrgpca","learner08",0.777777777777778,"all_cells","validation",NA
"309","fold2","CVsplit2","corrgpca","learner09",0.666666666666667,"all_cells","validation",NA
"310","fold2","CVsplit2","corrgpca","learner10",0.666666666666667,"all_cells","validation",NA
"311","fold2","CVsplit2","corrgpca","learner11",0.666666666666667,"all_cells","validation",NA
"312","fold2","CVsplit2","corrgpca","learner12",0.444444444444444,"all_cells","validation",NA
"313","fold2","CVsplit2","corrgpca","learner13",0.666666666666667,"all_cells","validation",NA
"314","fold2","CVsplit2","corrgpca","learner14",0.666666666666667,"all_cells","validation",NA
"315","fold2","CVsplit2","corrgpca","learner15",0.666666666666667,"all_cells","validation",NA
"316","fold2","CVsplit2","corrgpca","learner16",0.555555555555556,"all_cells","validation",NA
"317","fold2","CVsplit2","corrgpca","learner17",0.666666666666667,"all_cells","validation",NA
"318","fold2","CVsplit2","corrgpca","learner18",0.666666666666667,"all_cells","validation",NA
"319","fold2","CVsplit2","corrgpca","learner19",0.777777777777778,"all_cells","validation",NA
"320","fold2","CVsplit2","corrgpca","learner20",0.555555555555556,"all_cells","validation",NA
