learner_uid,dimred,auc
CVsplit2_pca_learner37,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner19,corrGPCA + PCA,0.666666666666667
CVsplit2_pca_learner48,PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner15,corrGPCA + PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner31,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner33,corrGPCA + PCA,0.833333333333333
CVsplit1_pca_learner10,PCA,0.833333333333333
CVsplit1_corrgpca_learner06,corrGPCA,0.75
CVsplit1_corrgpca_pca_learner36,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner05,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner30,corrGPCA + PCA,0.666666666666667
CVsplit1_corrgpca_pca_learner42,corrGPCA + PCA,0.75
CVsplit1_pca_learner25,PCA,0.75
CVsplit1_pca_learner05,PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner50,corrGPCA + PCA,0.75
CVsplit2_pca_learner19,PCA,0.583333333333333
CVsplit1_pca_learner24,PCA,0.75
CVsplit1_pca_learner39,PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner05,corrGPCA + PCA,0.5
CVsplit2_corrgpca_pca_learner47,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner09,corrGPCA + PCA,0.833333333333333
CVsplit2_pca_learner32,PCA,0.75
CVsplit1_pca_learner21,PCA,0.75
CVsplit1_corrgpca_pca_learner39,corrGPCA + PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner45,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner42,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner38,corrGPCA + PCA,0.5
CVsplit2_corrgpca_pca_learner43,corrGPCA + PCA,0.75
CVsplit1_corrgpca_pca_learner46,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner19,corrGPCA + PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner39,corrGPCA + PCA,0.5
CVsplit2_pca_learner50,PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner21,corrGPCA + PCA,0.833333333333333
CVsplit2_pca_learner49,PCA,0.666666666666667
CVsplit2_corrgpca_pca_learner29,corrGPCA + PCA,0.833333333333333
CVsplit2_corrgpca_pca_learner36,corrGPCA + PCA,0.583333333333333
CVsplit2_corrgpca_pca_learner11,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner44,corrGPCA + PCA,0.833333333333333
CVsplit2_pca_learner13,PCA,0.75
CVsplit1_pca_learner01,PCA,0.666666666666667
CVsplit1_pca_learner34,PCA,0.75
CVsplit2_corrgpca_pca_learner09,corrGPCA + PCA,0.75
CVsplit2_corrgpca_pca_learner46,corrGPCA + PCA,0.75
